Ajuda,3
Alcântara,6
Alvalade,15
Areeiro,1
Arroios,2
Avenidas Novas,2
Benfica,3
Campo de Ourique,1
Campolide,4
Carnide,1
Estrela,3
Lumiar,1
Marvila,4
Misericórdia,3
Parque das Nações,1
Santa Clara,2
Santa Maria Maior,2
Santo António,3
São Domingos de Benfica,7
São Vicente,1
