,FREGUESIA,Shape__Area,Shape__Length,DESIGNACAO
117,Carnide,5091.9599609375,757.135135680457,Jardim Bento Martins
118,Belém,7600.3505859375,1116.4927400397999,Jardim Fernanda Castro
119,Avenidas Novas,50794.529296875,1087.81244197905,Jardim do Palácio Ventura Terra
120,São Vicente,7591.8173828125,432.626820058292,Jardim Botto Machado
121,Avenidas Novas,94490.5234375,1608.4212657773098,Corredor Verde de Monsanto: Jardim Amália Rodrigues
122,Avenidas Novas,403064.63574218797,3202.8224825783195,Parque Eduardo VII de Inglaterra
123,Avenidas Novas,3324.248046875,234.371666467292,Jardim Amélia Carvalheira (Igreja de Fátima)
124,Avenidas Novas,22921.270996093797,762.329101967703,Estufa Fria
125,Santa Maria de Olivais,16460.423828125,1040.2003862566,Alameda da Encarnação
126,Lumiar,142473.852539063,4259.97706880963,Eixo Central
127,Santa Maria de Olivais,75914.541015625,2956.9774103950704,Mata na Rua dos Eucaliptos
128,Belém,23693.251953125,1061.6182100153098,Museu de Etnologia (Jardim do Museu de Etnologia)
129,Ajuda,36900.3291015625,2078.07981317149,Parque Urbano do Rio Seco
130,Misericórdia,2127.50634765625,199.843806436081,Jardim do Alto de Santa Catarina - Jardim do Adamastor
131,Carnide,5247.453125,321.880864323079,Jardim da Quinta dos Azulejos
132,Ajuda,186950.505859375,3594.0452067290503,PFM: Alameda Keil do Amaral
133,Lumiar,24096.776855468797,848.977568953072,Jardim Mahatma Gandhi
134,Arroios,2789.82080078125,201.325619711964,Jardim Cesário Verde
135,Santo António,18584.181152343797,553.620930494004,Jardim França Borges  - Jardim do Príncipe Real
136,Lumiar,253043.998046875,4976.33229650687,Golf (Urbanização Quinta dos Alcoutins)
137,Benfica,10873.673339843801,454.132269104907,Jardim da Rua João Frederico Ludovice
138,São Domingos de Benfica,10149.259277343801,882.1804222542371,Jardim Alice Cruz
139,Campo de Ourique,6363.27978515625,320.799375334768,Jardim Téofilo de Braga - Jardins de Campo de Ourique
140,Alvalade,2875.29345703125,408.446910473211,Jardim na Rua Eugénio de Castro
141,Alvalade,182316.69091796898,3638.6954221106703,Jardim do Campo Grande
142,Alvalade,129916.49316406301,1806.8918557055301,Parque Urbano Quinta do Narigão
143,Santa Maria Maior,73726.142578125,1461.0270126379,Jardim Ribeira das Naus
144,Campo de Ourique,143335.021484375,6259.94882582629,Encostas do Casal Ventoso
145,Marvila,47889.697265625,1663.1779503622502,Viveiro Quinta das Flores
146,Lumiar,25057.4248046875,1194.5378283874302,Ponte Galp
147,Areeiro,9455.17333984375,600.334415080939,Jardim sobre a Fonte Monumental - Alameda Dom Afonso Henriques
148,Areeiro,60274.05859375,1915.36441076995,Jardim da Alameda Dom Afonso Henriques
149,Benfica,67653.5063476563,1121.48480663681,Parque Silva Porto / Mata de Benfica
150,Lumiar,409964.32324218797,3883.2205741343105,Parque Quinta das Conchas - Nave Central
151,Alvalade,4559.884765625,280.044823958091,Jardim da Quinta dos Barros
152,Campo de Ourique,13577.806640625,866.5454493655701,Largo da Igreja de Santo Condestável
153,Parque das Nações,13083.2260742188,1504.07193484762,Jardins Ribeirinhos
154,Santo António,92669.39013671881,1510.01825958809,Jardim Botânico da Faculdade de Ciências da Universidade Lisboa
155,Estrela,7007.4560546875,412.71259273460703,Jardim Elisa Baptista Sousa Pedroso - Jardim Salazar - Jardim da Imprensa
156,Marvila,527046.867675781,3538.1610012837396,Parque da Belavista-Central
157,Marvila,261318.604492188,3164.24397417713,Parque da Belavista-Golfe
158,Marvila,78168.8696289063,1796.43948518198,Parque da Belavista-Sul (zona com equipamento)
159,Campolide,79052.2202148438,1153.42917156639,Corredor Verde de Monsanto: Parque Urbano Quinta do Zé Pinto
160,Benfica,67227.6064453125,1962.4651384506699,Quinta da Granja
161,Lumiar,6880.478515625,1150.0078905733099,Jardim Professor Francisco Caldeira Cabral (Norte)
162,Belém,7038.77490234375,334.27172522788203,Jardim da Praça de Diu
163,São Vicente,22925.3037109375,975.371227812983,Jardim da Cerca da Graça
164,São Vicente,1103.0166015625,313.813784179422,Miradouro da Graça - Miradouro Sophia de Mello Andresen
165,Santo António,9720.6826171875,349.766697563733,Rotunda do Marquês de Pombal
166,Belém,27823.08203125,1911.5900692137197,Jardins da Fundação Champalimaud
167,Campolide,67507.4868164063,3644.7309997991797,Corredor Verde de Monsanto :Parque Ventura Terra
168,Marvila,74602.7119140625,1557.8103451904901,Parque da Bela Vista Norte - Parque Vinícola
