X,Y,OBJECTID_1,OBJECTID,COD_SIG,MORADA,DESIGNACAO,ANO,ESTADO,TIPOLOGIA,ID_TIPO,GlobalID,Shape__Area,Shape__Length
-9.2091717551887,38.7048111648579,129,165,400050,Rua Rui Pereira,Museu de Etnologia (Jardim do Museu de Etnologia),0, , ,5,a3ff28ad-346d-48ed-a431-8f7bd029e93f,23693.251953125,1061.61821001531
-9.19219071437917,38.7060484091511,130,166,010180,Rua Eduardo Bairrada,Parque Urbano do Rio Seco,0, , ,5,35ebe8a5-82e8-4ca5-8d15-02938f63e283,36900.3291015625,2078.07981317149
-9.14761186196156,38.7095283002375,131,108,4900204100,"Rua de Santa Catarina, Jardim do Alto de Santa Catarina",Jardim do Alto de Santa Catarina - Jardim do Adamastor,2014,requalificado, ,5,29c94d57-1d02-4c4e-887e-b405b9e71d68,2127.50634765625,199.843806436081
-9.18990602464864,38.7609335535428,132,109,1102314100,"Rua do Norte(Carnide), Jardim da Quinta dos Azulejos",Jardim da Quinta dos Azulejos,0, , ,5,d47a7320-5c8a-4ed2-a46c-b28aea3684a0,5247.453125,321.880864323079
-9.19186780868481,38.7217387010983,133,110,020800,"Alameda Keil do Amaral, Keil do Amaral",PFM: Alameda Keil do Amaral,0, , ,5,02d2f38d-4bc8-48e6-a927-b4bb4fd4ab35,186950.505859375,3594.04520672905
-9.17508907468835,38.7693315538029,134,111,1804421101,"Alameda Mahatma Gandhi, Jardim Mahatma Gandhi",Jardim Mahatma Gandhi,2010,requalificado,Espaços Verdes Vizinhança,5,2dd12d24-5f74-4b2a-8fa8-b21b894e3da0,24096.7768554688,848.977568953072
-9.14075509769623,38.7326102767825,135,117,4401501100,"Praça da Ilha do Faial, Jardim Cesário Verde",Jardim Cesário Verde,0, , ,5,dfca178e-f313-42d1-a270-8d64f43d9e22,2789.82080078125,201.325619711964
-9.14862056463209,38.7162879852555,136,118,2201102001,"Praça do Príncipe Real, Jardim França Borges",Jardim França Borges  - Jardim do Príncipe Real,2010,requalificado,Espaços Verdes Vizinhança,5,ec584023-1a8c-4fee-8033-e31b8f5e6697,18584.1811523438,553.620930494004
-9.16927027591612,38.7775597834178,137,119,184150,"Rua Formosinho Sanchez, Golf Urbanização Quinta dos Alcoutins",Golf (Urbanização Quinta dos Alcoutins),0, , ,5,90bd2f33-94e8-4918-9b2f-3b3f714cf539,253043.998046875,4976.33229650687
-9.20732717892391,38.7500052403106,138,143,0808602100,"Rua João Frederico Ludovice, Jardim da Rua João Frederico Ludovice",Jardim da Rua João Frederico Ludovice,0, , ,5,f9315485-996e-4f0f-a008-336203b333e9,10873.6733398438,454.132269104907
-9.17377268711473,38.7443228109287,139,144,3903601001,"Rua Padre Francisco Álvares, Jardim Alice Cruz",Jardim Alice Cruz,0, , ,5,34d1f297-a275-465b-ac2c-cbabc6598ac3,10149.2592773438,882.180422254237
